"LOCALITY_ID","Rank","Country","Urban_Area","Population","Size_km","Density_perkm2","Ecoregion","Hotspot","Hotspot_Size_ha","Lat","Long","checklists_1950","checklists_2010","checklists_2013","distance.to.coast_km"
"L352473",122,"Dominican Republic","Santo Domingo",3635000,427,8500,"Neotropic","Jard<ed>n Bot<e1>nico Nacional",128,18.493306,-69.953931,309,215,144,4.99698946911898
"L372668",129,"United States","Seattle, WA",3475000,2989,1100,"Nearctic","Freeway Park (Seattle)",3,47.611089,-122.330661,217,208,148,1.0371380098426
"L3922053",139,"India","Lucknow, UP",3260000,324,10100,"Indo-Malay","Lucknow Zoological Garden",52.2,26.8454,80.954797,11,11,11,806.941751172939
"L4026586",86,"Spain","Barcelona",4740000,1075,4400,"Palearctic","Parque de la Ciutadella, Barcelona",28.2,41.388497,2.187803,34,26,24,2.057754132728
"L419667",65,"United States","San Francisco-San Jose, CA",5955000,2797,2100,"Nearctic","Mt. Davidson",17.9,37.73837,-122.453399,1157,956,591,4.11957302473066
"L459787",124,"Canada","Montreal, QC",3570000,1546,2200,"Nearctic","PN de l'<ce>le-de-la-Visitation",52.4,45.577092,-73.659624,2754,1865,1728,0.359246359281732
"L473521",80,"United States","Washington, DC-VA-MD",4950000,3424,1300,"Nearctic","Constitution Gardens and Reflecting Pool",103,38.890114,-77.043364,1279,1092,724,0.642243813097135
"L511955",120,"United States","Detroit, MI",3660000,3463,1100,"Nearctic","UM Dearborn--Rouge River Bird Observatory",145,42.319399,-83.239975,3138,1487,833,487.334928479609
"L571677",56,"Canada","Toronto, ON",6550000,2287,2900,"Nearctic","Toronto--Queen's Park",10.5,43.664853,-79.392368,713,691,369,396.261990525412
"L619767",19,"United States","Los Angeles, CA",15135000,6299,2400,"Nearctic","Echo Park",10.3,34.07431,-118.260763,362,281,234,27.0597321633309
"L715912",73,"United States","Philadelphia, PA-NJ-DE-MD",5595000,5131,1100,"Nearctic","Woodlands Cemetery",22.3,39.947187,-75.203133,417,413,324,4.9180298665153
"L796074",79,"United States","Atlanta, GA",5120000,6851,700,"Nearctic","Centennial Olympic Park",8.1,33.76164,-84.392735,929,867,511,289.945511854612
"L826850",29,"Peru","Lima",10950000,919,11900,"Neotropic","Bosque El Olivar",12,-12.102774,-77.035274,149,129,104,2.15925767283467
"L834429",95,"United States","Phoenix, AZ",4295000,3225,1300,"Nearctic","Kiwanis Park",38.6,33.373993,-111.939311,370,355,348,357.044862913974
"L919153",102,"Australia","Melbourne, VIC",3955000,2543,1500,"Australasia","Royal Botanic Gardens (Melbourne)",119,-37.829792,144.980521,675,486,367,9.08416210719201
"L920889",30,"France","Paris",10870000,2845,3700,"Palearctic","Paris--6e arr.--Jardin du Luxembourg",22,48.846919,2.337207,131,104,75,147.781083929431
"L938388",33,"United Kingdom","London",10350000,1738,5600,"Palearctic","Hyde Park",276,51.508037,-0.163979,630,419,317,41.2962346209682
"L945869",100,"Australia","Sydney, NSW",4070000,2037,1900,"Australasia","Centennial Park (Sydney)",191,-33.897706,151.234145,541,412,368,3.23257548481853
"L957929",112,"China","Kunming, YN",3730000,712,5200,"Indo-Malay","Kunming--Green Lake Park",25.4,25.051552,102.702441,34,20,18,739.187296957816
"L980718",59,"Chile","Santiago",6265000,984,6400,"Neotropic","Cerro Santa Lucia",7.25,-33.439875,-70.64356,59,55,32,84.0290884391146
"L982332",123,"United Arab Emirates","Dubai",3630000,1502,2400,"Afrotropic","Safa Park",69.2,25.185622,55.246704,829,419,143,1.1330713439119
