COMMON_NAME,classification
Sacred Kingfisher,W
Australian Pelican,W
Pacific Koel,L
Canvasback,W
Shining Bronze-Cuckoo,L
Glaucous Gull,W
American Bittern,L
Black-backed Woodpecker,L
Marsh Wren,L
Summer Tanager,L
Western Gull,W
California Scrub-Jay,L
Black Phoebe,L
American Three-toed Woodpecker,L
Golden-winged Warbler,L
Whistling Kite,R
White-bellied Sea-Eagle,R
Pink-eared Duck,W
Freckled Duck,W
Tree Martin,L
Pine Grosbeak,L
Australian Shoveler,W
Lesser Yellowlegs,W
Bonaparte's Gull,W
Brown Honeyeater,L
Hutton's Vireo,L
Striated Pardalote,L
Gray Fantail,L
Purple Martin,L
Cerulean Warbler,L
Sandhill Crane,W
Lazuli Bunting,L
Calliope Hummingbird,L
Snow Goose,W
Blue-winged Teal,L
Pacific-slope Flycatcher,L
Snowy Egret,W
Band-tailed Pigeon,L
Yellow-breasted Chat,L
Dusky Flycatcher,L
Black-throated Gray Warbler,L
Buff-banded Rail,W
Eastern Yellow Wagtail,L
Say's Phoebe,L
Tawny Grassbird,L
Long-billed Corella,L
Yellow-billed Cuckoo,L
Tawny Frogmouth,L
Pale-headed Rosella,L
Red-breasted Merganser,W
Wrentit,L
Wilson's Phalarope,L
Great Horned Owl,L
Red-masked Parakeet,L
Evening Grosbeak,L
MacGillivray's Warbler,L
Horned Grebe,W
Snowy Owl,R
American Pipit,L
Redhead,W
Iceland Gull,W
White-winged Crossbill,L
Eastern Meadowlark,L
Australian Raven,L
Yellow-tailed Black-Cockatoo,L
Pacific Swift,L
Pied Cormorant,W
Cliff Swallow,L
Eastern Whip-poor-will,L
Black-billed Cuckoo,L
Northern Shrike,L
Woodhouse's Scrub-Jay,L
Bank Swallow,L
Western Kingbird,L
Lark Sparrow,L
Greater White-fronted Goose,W
Franklin's Gull,W
Brewer's Sparrow,L
American Avocet,W
Snow Bunting,L
Mew Gull,W
Eared Grebe,W
Black Scoter,W
Cinnamon Teal,W
Forster's Tern,W
Greater Scaup,W
Tricolored Heron,W
Purple Gallinule,W
Common Gallinule,W
Little Blue Heron,W
Brown Pelican,W
Gray Flycatcher,L
Western Grebe,W
Limpkin,W
Townsend's Solitaire,L
Black-faced Grassquit,L
Bronze Mannikin,L
Bananaquit,L
Zenaida Dove,L
Red Junglefowl,L
Common Ground-Dove,L
White-winged Parakeet,L
Puerto Rican Bullfinch,L
