file.name,value,name,LOCALITY_ID
gls_water_15,,A. D. Barnes Park,L200830
gls_water_15,29.21739214,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
gls_water_15,,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
gls_water_15,1.851031147,Addis Ababa--Ghion Hotel,L3016220
gls_water_15,,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
gls_water_15,35.51477084,Athens National Gardens,L2694540
gls_water_15,1.365831228,Büyük Çamlıca Tepesi,L2361473
gls_water_15,1.230333973,Bangkok--Lumphini Park,L1068940
gls_water_15,1.504472295,Berlin--Grosser Tiergarten,L1756521
gls_water_15,106.5720727,Bidadari,L3345783
gls_water_15,151.6767115,Bosque El Olivar,L826850
gls_water_15,,Bosque los Colomos,L2811916
gls_water_15,1.251425845,Boston Public Garden,L209928
gls_water_15,2.774060987,Botanik Parkı,L1930245
gls_water_15,25.29867963,Cape Town--Company's Garden,L1357648
gls_water_15,1.859754078,Centennial Olympic Park,L796074
gls_water_15,1.031457532,Centennial Park (Sydney),L945869
gls_water_15,4.793117622,"Central Park (Banabitan), Kolkata",L2071440
gls_water_15,1.00564114,Centre for Environment Education (CEE),L3353044
gls_water_15,,Cerro Santa Lucia,L980718
gls_water_15,,Constitution Gardens and Reflecting Pool,L473521
gls_water_15,3.868691146,Curitiba -- Jardim Botânico de Curitiba,L3143033
gls_water_15,2.03961011,Dallas--Pioneer Park/City Hall Park,L1274650
gls_water_15,1.41788457,Durban Botanical Gardens,L1060493
gls_water_15,1.053785838,Echo Park,L619767
gls_water_15,,Fergusson College Campus,L3148022
gls_water_15,1.407682793,Freeway Park (Seattle),L372668
gls_water_15,1.630633822,Hanoi Botanical Gardens,L1877540
gls_water_15,1.200831005,Hofgarten Düsseldorf,L3024180
gls_water_15,,Houston--West 11th Street Park,L281716
gls_water_15,,"Humboldt Park, Chicago",L339164
gls_water_15,1.263896462,Hyde Park,L938388
gls_water_15,,Jakarta--Monas,L1416967
gls_water_15,58.88809623,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
gls_water_15,,Jardín Botánico José Celestino Mutis,L2404145
gls_water_15,,Johannesburg Botanical Gardens,L1277000
gls_water_15,1.006675069,Kiwanis Park,L834429
gls_water_15,1.109122802,Kowloon Park,L1435080
gls_water_15,,Kuala Lumpur City Center Park,L2688240
gls_water_15,6.025643483,Kunming--Green Lake Park,L957929
gls_water_15,16.16684807,Lago del Golf,L1471853
gls_water_15,1.110804261,Lalbagh Botanical Gardens,L2525698
gls_water_15,1.005971738,Lodi Gardens,L2265071
gls_water_15,1.319372284,Lucknow Zoological Garden,L3922053
gls_water_15,,"Manila American Cemetery & Memorial, Taguig",L1271819
gls_water_15,,Mt. Davidson,L419667
gls_water_15,2.270573455,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
gls_water_15,1.061597102,Namsan Mountain,L1668242
gls_water_15,14.09087517,Pantoja Park,L1830072
gls_water_15,1.659429526,Paris--6e arr.--Jardin du Luxembourg,L920889
gls_water_15,,Parque Chico Mendes,L2386097
gls_water_15,,"Parque de El Retiro, Madrid",L1139116
gls_water_15,4.494545767,"Parque de la Ciutadella, Barcelona",L4026586
gls_water_15,2.248635743,Parque do Ibirapuera,L1800556
gls_water_15,,Parque Rufino Tamayo,L2875912
gls_water_15,,PN de l'Île-de-la-Visitation,L459787
gls_water_15,4.604659572,Prospect Park,L109516
gls_water_15,9.06257875,Royal Botanic Gardens (Melbourne),L919153
gls_water_15,1.038022079,Safa Park,L982332
gls_water_15,38.98878976,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
gls_water_15,,"Sanjeevaiah Park, Hyderabad",L2472492
gls_water_15,81.58034468,Santo Domingo--Jardín Botánico Nacional,L352473
gls_water_15,1.000489957,Shahr Park (general area),L3158781
gls_water_15,2.341529394,Shangaii--Century Park,L1029418
gls_water_15,,Shushan Forest Park,L3483931
gls_water_15,2.790824023,Sun Yat-sen University Campus,L2354294
gls_water_15,,Technopole,L2389491
gls_water_15,,Tiantan Park (Temple of Heaven),L2398320
gls_water_15,,Toronto--Queen's Park,L571677
gls_water_15,12.21772636,UM Dearborn--Rouge River Bird Observatory,L511955
gls_water_15,2.985390823,University of Ghana Botanical Gardens,L2265183
gls_water_15,,Villa Borghese,L1017789
gls_water_15,1.462156464,Viveros de Coyoacán,L294783
gls_water_15,,Woodlands Cemetery,L715912
gls_water_15,23.82772562,Yangon--Inya Lake,L1899347
