Area,BUFF_DIST,LOCALITY_I,Perimeter,value,file.name
10.56080261,25,L208734,1.813471768,0.028820624,forest_loss_25
10.27955091,25,L2960422,1.68200426,7.57E-04,forest_loss_25
8.658871484,25,L2531687,1.596830405,0.004284463,forest_loss_25
8.054821953,25,L886942,1.149968823,0.035657303,forest_loss_25
7.750115788,25,L1014322,1.1395047,0.003588832,forest_loss_25
7.442667215,25,L2107980,1.786392089,0.020003844,forest_loss_25
7.335856056,25,L717897,1.258993105,0.005174317,forest_loss_25
7.054897622,25,L598129,1.108911737,0.003392501,forest_loss_25
5.564527258,25,L622087,0.999373874,0.010131287,forest_loss_25
5.404973654,25,L1074046,1.0048047,0.003122248,forest_loss_25
4.908590966,25,L389608,1.26595499,0.003592821,forest_loss_25
4.643658481,25,L1284799,1.046470945,0.00366795,forest_loss_25
4.349022249,25,L683555,0.840172943,0.001538451,forest_loss_25
4.082893853,25,L2889249,1.25598204,8.29E-04,forest_loss_25
3.737196655,25,L241804,0.931712593,0.025724803,forest_loss_25
3.529576952,25,L1206404,1.042346446,0.023522666,forest_loss_25
3.014494833,25,L1620006,0.918286157,8.94E-04,forest_loss_25
