Area,BUFF_DIST,LOCALITY_I,Perimeter,value,file.name
813.4974407,25,L806691,13.13482194,2.15E-04,forest_gain_25
790.6461919,25,L213077,11.85319233,3.35E-04,forest_gain_25
699.5155119,25,L453412,12.2642329,0.00223484,forest_gain_25
688.9089054,25,L938388,11.58241077,0.002098339,forest_gain_25
671.2881167,25,L109439,14.74217781,0.001257804,forest_gain_25
619.2460061,25,L191106,13.03461987,1.06E-04,forest_gain_25
429.9630584,25,L109516,9.806453823,4.76E-05,forest_gain_25
409.6210974,25,L923357,8.123751837,0.001350942,forest_gain_25
380.0643874,25,L663110,7.900171122,0.003991911,forest_gain_25
357.1702097,25,L451783,11.86242988,7.86E-04,forest_gain_25
353.4472499,25,L11,7.647478528,1.05E-04,forest_gain_25
331.5524457,25,L285884,7.351110814,4.58E-05,forest_gain_25
319.0909037,25,L684445,8.24315392,8.32E-04,forest_gain_25
281.8079743,25,L945869,7.917616955,0.00101251,forest_gain_25
274.5874481,25,L165056,6.777135664,2.90E-04,forest_gain_25
269.8380529,25,L271279,7.179805207,2.47E-04,forest_gain_25
243.095914,25,L1025768,6.201269384,9.99E-04,forest_gain_25
228.3071132,25,L298724,6.3240743,1.61E-05,forest_gain_25
221.92285,25,L797450,6.048442742,1.31E-05,forest_gain_25
218.2688057,25,L340861,10.2951507,0.002517265,forest_gain_25
217.5057554,25,L732477,6.138825815,7.61E-04,forest_gain_25
217.2872915,25,L268530,8.669759547,2.75E-04,forest_gain_25
203.8869419,25,L2468319,7.213091601,1.52E-04,forest_gain_25
202.9866002,25,L456488,7.538904307,3.47E-07,forest_gain_25
196.1479739,25,L252263,6.378792977,1.76E-04,forest_gain_25
195.1515519,25,L945563,7.491118318,0.00210953,forest_gain_25
193.0574293,25,L919153,6.271403326,9.27E-04,forest_gain_25
180.2503623,25,L681420,5.608294963,5.72E-05,forest_gain_25
172.2545638,25,L207391,6.151848882,6.41E-04,forest_gain_25
155.706136,25,L486301,6.404377203,0.001350705,forest_gain_25
155.6967854,25,L305312,6.625675685,0.005765678,forest_gain_25
148.6685496,25,L796467,6.166389618,2.69E-04,forest_gain_25
147.3843367,25,L447381,5.598376426,0.00558171,forest_gain_25
144.3757788,25,L275836,5.691863051,0.001370398,forest_gain_25
144.0509166,25,L339164,5.331651204,2.44E-05,forest_gain_25
139.3080943,25,L620970,4.775986637,1.01E-04,forest_gain_25
129.7488156,25,L148362,6.075697426,0.015345194,forest_gain_25
128.4767034,25,L152123,4.777319255,2.57E-04,forest_gain_25
127.8079008,25,L108460,4.815162072,2.87E-05,forest_gain_25
108.0565067,25,L2205485,8.383377561,0.004959918,forest_gain_25
107.8573867,25,L1215121,4.771933533,3.05E-04,forest_gain_25
105.5116638,25,L343087,5.393706839,9.01E-04,forest_gain_25
102.340698,25,L108479,4.021158782,4.30E-05,forest_gain_25
96.84988008,25,L250145,4.795861467,9.62E-06,forest_gain_25
95.16645998,25,L458792,5.883104866,0.001712203,forest_gain_25
93.73892113,25,L1743685,4.17784758,8.21E-04,forest_gain_25
89.83552913,25,L299578,4.033944585,7.80E-04,forest_gain_25
83.63361068,25,L807500,6.47805541,0.010083443,forest_gain_25
83.33875035,25,L2390329,4.021541947,5.74E-04,forest_gain_25
82.2925033,25,L2041660,3.686770374,0.001456031,forest_gain_25
81.43173982,25,L1163678,4.129937205,2.54E-04,forest_gain_25
77.29235124,25,L1160385,5.247531585,3.93E-04,forest_gain_25
76.90147549,25,L834429,5.118132766,3.99E-06,forest_gain_25
75.65575155,25,L449982,3.474831634,3.98E-04,forest_gain_25
75.04806455,25,L342893,4.211326752,0.002744356,forest_gain_25
74.99682478,25,L590796,5.473325974,0.001117089,forest_gain_25
69.36152985,25,L889273,3.514993998,6.69E-04,forest_gain_25
65.17827951,25,L618326,3.798472575,0.002237386,forest_gain_25
62.48892426,25,L227274,3.622011139,3.36E-06,forest_gain_25
60.3667342,25,L232994,3.965223168,8.40E-04,forest_gain_25
60.04776679,25,L710606,4.637691061,4.70E-04,forest_gain_25
59.78429576,25,L196159,3.463815592,0.001833204,forest_gain_25
59.35114917,25,L711719,3.239175882,2.96E-04,forest_gain_25
55.2938267,25,L209928,3.442792364,4.14E-04,forest_gain_25
48.74494516,25,L1409960,4.207193165,5.47E-04,forest_gain_25
41.52692277,25,L1070558,3.403294442,0,forest_gain_25
40.88619848,25,L1448462,6.585374467,3.97E-04,forest_gain_25
38.9454954,25,L250958,2.646238463,4.89E-06,forest_gain_25
38.88254494,25,L715912,2.614425012,6.62E-04,forest_gain_25
37.42166983,25,L883813,2.56518368,7.62E-04,forest_gain_25
34.0470971,25,L588572,3.552011792,7.96E-04,forest_gain_25
33.92931433,25,L634615,3.061784846,0.01259141,forest_gain_25
33.66621996,25,L571677,2.897408564,6.95E-05,forest_gain_25
32.9713361,25,L2807001,2.898828457,1.35E-04,forest_gain_25
31.32391737,25,L3187356,4.290778941,6.24E-04,forest_gain_25
30.75045904,25,L200830,2.589964103,0.001701543,forest_gain_25
28.71537021,25,L1150366,2.375736161,1.20E-04,forest_gain_25
27.44461616,25,L2161102,2.088819629,2.59E-04,forest_gain_25
27.25148609,25,L419667,1.9939401,0.001033524,forest_gain_25
26.91715066,25,L2875912,2.256211723,3.49E-04,forest_gain_25
25.03211447,25,L1896576,1.918820091,0.001596811,forest_gain_25
23.72710521,25,L454170,2.106393862,1.30E-05,forest_gain_25
21.74399686,25,L2921580,3.802309809,8.67E-05,forest_gain_25
20.295477,25,L1007610,2.118178555,0.001584348,forest_gain_25
19.00362924,25,L834368,3.117662103,0.001042131,forest_gain_25
18.46289688,25,L304833,1.786136513,5.40E-05,forest_gain_25
18.00116307,25,L312198,1.80251158,0.002337511,forest_gain_25
16.03374622,25,L385285,1.731909734,2.62E-06,forest_gain_25
15.82612815,25,L910358,1.74843709,1.57E-04,forest_gain_25
14.98169863,25,L127353,2.211383781,0.012393099,forest_gain_25
14.69443918,25,L2921596,2.802077398,8.00E-05,forest_gain_25
12.94475035,25,L246035,1.63351686,6.12E-05,forest_gain_25
12.06031765,25,L1877656,1.730353462,0.00463016,forest_gain_25
11.83772529,25,L2314029,1.803885894,6.56E-04,forest_gain_25
11.61341834,25,L796074,1.625463791,0.008120335,forest_gain_25
11.07748812,25,L1138317,2.59040892,1.28E-04,forest_gain_25
10.72610792,25,L2531682,1.639869598,0.001597245,forest_gain_25
10.56080261,25,L208734,1.813471768,0.003188604,forest_gain_25
10.27955091,25,L2960422,1.68200426,7.53E-05,forest_gain_25
8.658871484,25,L2531687,1.596830405,0.001695124,forest_gain_25
8.054821953,25,L886942,1.149968823,0.005917838,forest_gain_25
7.750115788,25,L1014322,1.1395047,0.001211998,forest_gain_25
7.442667215,25,L2107980,1.786392089,4.14E-04,forest_gain_25
7.335856056,25,L717897,1.258993105,3.46E-05,forest_gain_25
7.054897622,25,L598129,1.108911737,0.001135972,forest_gain_25
5.564527258,25,L622087,0.999373874,8.42E-06,forest_gain_25
5.404973654,25,L1074046,1.0048047,0.001082054,forest_gain_25
4.908590966,25,L389608,1.26595499,0.001248333,forest_gain_25
4.643658481,25,L1284799,1.046470945,0.001262605,forest_gain_25
4.349022249,25,L683555,0.840172943,7.09E-05,forest_gain_25
4.082893853,25,L2889249,1.25598204,8.86E-05,forest_gain_25
3.737196655,25,L241804,0.931712593,0.002837729,forest_gain_25
3.529576952,25,L1206404,1.042346446,0.001451221,forest_gain_25
3.014494833,25,L1620006,0.918286157,1.16E-04,forest_gain_25
