Area,BUFF_DIST,LOCALITY_I,Perimeter,value,file.name
18.00116307,15,L312198,1.80251158,0.245341471,evi_2017_15
16.03374622,15,L385285,1.731909734,0.170448073,evi_2017_15
15.82612815,15,L910358,1.74843709,0.374682462,evi_2017_15
14.98169863,15,L127353,2.211383781,0.31392293,evi_2017_15
14.69443918,15,L2921596,2.802077398,0.134099185,evi_2017_15
12.94475035,15,L246035,1.63351686,0.078816814,evi_2017_15
12.06031765,15,L1877656,1.730353462,0.230645017,evi_2017_15
11.83772529,15,L2314029,1.803885894,0.263838275,evi_2017_15
11.61341834,15,L796074,1.625463791,0.480421029,evi_2017_15
11.07748812,15,L1138317,2.59040892,0.328989036,evi_2017_15
10.72610792,15,L2531682,1.639869598,0.284062085,evi_2017_15
10.56080261,15,L208734,1.813471768,0.422392001,evi_2017_15
10.27955091,15,L2960422,1.68200426,0.132235558,evi_2017_15
8.658871484,15,L2531687,1.596830405,0.295253674,evi_2017_15
8.054821953,15,L886942,1.149968823,0.243061149,evi_2017_15
7.750115788,15,L1014322,1.1395047,0.058715099,evi_2017_15
7.442667215,15,L2107980,1.786392089,0.23819064,evi_2017_15
7.335856056,15,L717897,1.258993105,0.222651736,evi_2017_15
7.054897622,15,L598129,1.108911737,0.052320078,evi_2017_15
5.564527258,15,L622087,0.999373874,0.187289643,evi_2017_15
5.404973654,15,L1074046,1.0048047,0.354927965,evi_2017_15
4.908590966,15,L389608,1.26595499,0.073662347,evi_2017_15
4.643658481,15,L1284799,1.046470945,0.071451283,evi_2017_15
4.349022249,15,L683555,0.840172943,0.072853757,evi_2017_15
4.082893853,15,L2889249,1.25598204,0.139554141,evi_2017_15
3.737196655,15,L241804,0.931712593,0.402897335,evi_2017_15
3.529576952,15,L1206404,1.042346446,0.459746873,evi_2017_15
3.014494833,15,L1620006,0.918286157,0.11763984,evi_2017_15
