Area,BUFF_DIST,LOCALITY_I,Perimeter,value,file.name
20.295477,25,L1007610,2.118178555,0.428286687,evi_2013_25
7.750115788,25,L1014322,1.1395047,0.028814645,evi_2013_25
243.095914,25,L1025768,6.201269384,0.260787079,evi_2013_25
41.52692277,25,L1070558,3.403294442,-0.343136769,evi_2013_25
5.404973654,25,L1074046,1.0048047,0.19579522,evi_2013_25
127.8079008,25,L108460,4.815162072,0.013053357,evi_2013_25
102.340698,25,L108479,4.021158782,0.03240124,evi_2013_25
671.2881167,25,L109439,14.74217781,0.007616229,evi_2013_25
429.9630584,25,L109516,9.806453823,0.193439687,evi_2013_25
353.4472499,25,L11,7.647478528,0.104639519,evi_2013_25
11.07748812,25,L1138317,2.59040892,0.232719303,evi_2013_25
28.71537021,25,L1150366,2.375736161,0.233949275,evi_2013_25
77.29235124,25,L1160385,5.247531585,0.221354217,evi_2013_25
81.43173982,25,L1163678,4.129937205,0.177304883,evi_2013_25
3.529576952,25,L1206404,1.042346446,0.391839176,evi_2013_25
107.8573867,25,L1215121,4.771933533,0.175292499,evi_2013_25
14.98169863,25,L127353,2.211383781,0.322945195,evi_2013_25
4.643658481,25,L1284799,1.046470945,0.043035543,evi_2013_25
48.74494516,25,L1409960,4.207193165,0.271246291,evi_2013_25
40.88619848,25,L1448462,6.585374467,0.273830291,evi_2013_25
129.7488156,25,L148362,6.075697426,0.337592773,evi_2013_25
128.4767034,25,L152123,4.777319255,0.176759651,evi_2013_25
3.014494833,25,L1620006,0.918286157,0.109338456,evi_2013_25
274.5874481,25,L165056,6.777135664,0.18377919,evi_2013_25
93.73892113,25,L1743685,4.17784758,0.232748867,evi_2013_25
12.06031765,25,L1877656,1.730353462,0.172849257,evi_2013_25
25.03211447,25,L1896576,1.918820091,0.229039942,evi_2013_25
619.2460061,25,L191106,13.03461987,0.206335587,evi_2013_25
59.78429576,25,L196159,3.463815592,0.271244105,evi_2013_25
30.75045904,25,L200830,2.589964103,0.237184815,evi_2013_25
82.2925033,25,L2041660,3.686770374,0.244440452,evi_2013_25
172.2545638,25,L207391,6.151848882,0.210903763,evi_2013_25
