Area,BUFF_DIST,LOCALITY_I,Perimeter,value,file.name
813.4974407,15,L806691,13.13482194,0.014056408,evi_2016_15
790.6461919,15,L213077,11.85319233,0.252990418,evi_2016_15
699.5155119,15,L453412,12.2642329,0.14552839,evi_2016_15
688.9089054,15,L938388,11.58241077,0.32100363,evi_2016_15
671.2881167,15,L109439,14.74217781,-0.020964614,evi_2016_15
619.2460061,15,L191106,13.03461987,0.074754942,evi_2016_15
429.9630584,15,L109516,9.806453823,0.023541385,evi_2016_15
409.6210974,15,L923357,8.123751837,0.166050636,evi_2016_15
380.0643874,15,L663110,7.900171122,0.300483513,evi_2016_15
357.1702097,15,L451783,11.86242988,0.214494606,evi_2016_15
353.4472499,15,L11,7.647478528,0.027041506,evi_2016_15
331.5524457,15,L285884,7.351110814,0.024065743,evi_2016_15
319.0909037,15,L684445,8.24315392,0.183959907,evi_2016_15
281.8079743,15,L945869,7.917616955,0.173601652,evi_2016_15
274.5874481,15,L165056,6.777135664,0.014690554,evi_2016_15
269.8380529,15,L271279,7.179805207,0.229687057,evi_2016_15
243.095914,15,L1025768,6.201269384,0.22994318,evi_2016_15
228.3071132,15,L298724,6.3240743,0.14180765,evi_2016_15
221.92285,15,L797450,6.048442742,0.108385342,evi_2016_15
218.2688057,15,L340861,10.2951507,0.333288512,evi_2016_15
217.5057554,15,L732477,6.138825815,0.186621712,evi_2016_15
217.2872915,15,L268530,8.669759547,0.251112792,evi_2016_15
203.8869419,15,L2468319,7.213091601,0.017485712,evi_2016_15
202.9866002,15,L456488,7.538904307,0.126058028,evi_2016_15
196.1479739,15,L252263,6.378792977,0.207960252,evi_2016_15
195.1515519,15,L945563,7.491118318,0.328133429,evi_2016_15
193.0574293,15,L919153,6.271403326,0.23584362,evi_2016_15
180.2503623,15,L681420,5.608294963,0.115033926,evi_2016_15
172.2545638,15,L207391,6.151848882,0.185115241,evi_2016_15
155.706136,15,L486301,6.404377203,0.298158418,evi_2016_15
155.6967854,15,L305312,6.625675685,0.272634234,evi_2016_15
148.6685496,15,L796467,6.166389618,0.090726949,evi_2016_15
147.3843367,15,L447381,5.598376426,0.369511334,evi_2016_15
144.3757788,15,L275836,5.691863051,0.093046477,evi_2016_15
144.0509166,15,L339164,5.331651204,0.174873913,evi_2016_15
139.3080943,15,L620970,4.775986637,0.258164367,evi_2016_15
129.7488156,15,L148362,6.075697426,0.369431832,evi_2016_15
128.4767034,15,L152123,4.777319255,0.254653425,evi_2016_15
127.8079008,15,L108460,4.815162072,0.179356727,evi_2016_15
108.0565067,15,L2205485,8.383377561,0.227569999,evi_2016_15
107.8573867,15,L1215121,4.771933533,0.256021942,evi_2016_15
105.5116638,15,L343087,5.393706839,0.205485412,evi_2016_15
102.340698,15,L108479,4.021158782,0.190778374,evi_2016_15
96.84988008,15,L250145,4.795861467,0.143031973,evi_2016_15
95.16645998,15,L458792,5.883104866,0.334256848,evi_2016_15
93.73892113,15,L1743685,4.17784758,0.200972587,evi_2016_15
89.83552913,15,L299578,4.033944585,0.095596717,evi_2016_15
83.63361068,15,L807500,6.47805541,0.365048131,evi_2016_15
83.33875035,15,L2390329,4.021541947,0.208634391,evi_2016_15
82.2925033,15,L2041660,3.686770374,0.216890447,evi_2016_15
81.43173982,15,L1163678,4.129937205,0.256162361,evi_2016_15
77.29235124,15,L1160385,5.247531585,0.190525004,evi_2016_15
76.90147549,15,L834429,5.118132766,0.171373488,evi_2016_15
75.65575155,15,L449982,3.474831634,0.180046181,evi_2016_15
75.04806455,15,L342893,4.211326752,0.238700346,evi_2016_15
74.99682478,15,L590796,5.473325974,-0.014515153,evi_2016_15
69.36152985,15,L889273,3.514993998,0.081075996,evi_2016_15
65.17827951,15,L618326,3.798472575,0.313745474,evi_2016_15
62.48892426,15,L227274,3.622011139,0.144974631,evi_2016_15
60.3667342,15,L232994,3.965223168,0.194223626,evi_2016_15
60.04776679,15,L710606,4.637691061,0.140994764,evi_2016_15
59.78429576,15,L196159,3.463815592,0.155965795,evi_2016_15
59.35114917,15,L711719,3.239175882,0.239645819,evi_2016_15
55.2938267,15,L209928,3.442792364,0.112785443,evi_2016_15
48.74494516,15,L1409960,4.207193165,0.228508367,evi_2016_15
41.52692277,15,L1070558,3.403294442,-0.085012504,evi_2016_15
40.88619848,15,L1448462,6.585374467,0.238824356,evi_2016_15
38.9454954,15,L250958,2.646238463,0.14868907,evi_2016_15
38.88254494,15,L715912,2.614425012,0.227527519,evi_2016_15
37.42166983,15,L883813,2.56518368,0.17871058,evi_2016_15
34.0470971,15,L588572,3.552011792,0.19882432,evi_2016_15
33.92931433,15,L634615,3.061784846,0.347586178,evi_2016_15
33.66621996,15,L571677,2.897408564,0.014814189,evi_2016_15
32.9713361,15,L2807001,2.898828457,0.299233303,evi_2016_15
31.32391737,15,L3187356,4.290778941,0.232439878,evi_2016_15
30.75045904,15,L200830,2.589964103,0.263809795,evi_2016_15
28.71537021,15,L1150366,2.375736161,0.286094779,evi_2016_15
27.44461616,15,L2161102,2.088819629,0.260310568,evi_2016_15
27.25148609,15,L419667,1.9939401,-0.013787832,evi_2016_15
26.91715066,15,L2875912,2.256211723,0.271735918,evi_2016_15
25.03211447,15,L1896576,1.918820091,0.214359342,evi_2016_15
23.72710521,15,L454170,2.106393862,0.160358619,evi_2016_15
21.74399686,15,L2921580,3.802309809,0.069389938,evi_2016_15
20.295477,15,L1007610,2.118178555,0.408960858,evi_2016_15
19.00362924,15,L834368,3.117662103,0.206234055,evi_2016_15
18.46289688,15,L304833,1.786136513,0.029399394,evi_2016_15
18.00116307,15,L312198,1.80251158,0.184008201,evi_2016_15
16.03374622,15,L385285,1.731909734,0.159707264,evi_2016_15
15.82612815,15,L910358,1.74843709,0.192951711,evi_2016_15
14.98169863,15,L127353,2.211383781,0.35539585,evi_2016_15
14.69443918,15,L2921596,2.802077398,0.061134663,evi_2016_15
12.94475035,15,L246035,1.63351686,0.045639129,evi_2016_15
12.06031765,15,L1877656,1.730353462,0.239712385,evi_2016_15
11.83772529,15,L2314029,1.803885894,0.407422865,evi_2016_15
11.61341834,15,L796074,1.625463791,0.242028813,evi_2016_15
11.07748812,15,L1138317,2.59040892,0.288753848,evi_2016_15
10.72610792,15,L2531682,1.639869598,0.300273389,evi_2016_15
10.56080261,15,L208734,1.813471768,0.276588397,evi_2016_15
10.27955091,15,L2960422,1.68200426,0.057806732,evi_2016_15
8.658871484,15,L2531687,1.596830405,0.311467095,evi_2016_15
8.054821953,15,L886942,1.149968823,0.273591852,evi_2016_15
7.750115788,15,L1014322,1.1395047,0.001268204,evi_2016_15
7.442667215,15,L2107980,1.786392089,0.191721558,evi_2016_15
7.335856056,15,L717897,1.258993105,0.088107177,evi_2016_15
7.054897622,15,L598129,1.108911737,-0.012078521,evi_2016_15
5.564527258,15,L622087,0.999373874,0.149818233,evi_2016_15
5.404973654,15,L1074046,1.0048047,0.331132561,evi_2016_15
4.908590966,15,L389608,1.26595499,0.017030946,evi_2016_15
4.643658481,15,L1284799,1.046470945,0.015469514,evi_2016_15
4.349022249,15,L683555,0.840172943,0.058866527,evi_2016_15
4.082893853,15,L2889249,1.25598204,0.071813914,evi_2016_15
3.737196655,15,L241804,0.931712593,0.301195939,evi_2016_15
3.529576952,15,L1206404,1.042346446,0.403386542,evi_2016_15
3.014494833,15,L1620006,0.918286157,0.0454894,evi_2016_15
