Area,Id,LOCALITY_I,Perimeter,value,file.name
7.335856056,0,L717897,1.258993105,13.22310015,gls_tree_hs
269.8380529,0,L271279,7.179805207,29.24759981,gls_tree_hs
11.07748812,0,L1138317,2.59040892,25.91644126,gls_tree_hs
28.71537021,0,L1150366,2.375736161,12.39276092,gls_tree_hs
139.3080943,0,L620970,4.775986637,17.54761905,gls_tree_hs
32.9713361,0,L2807001,2.898828457,17.41624444,gls_tree_hs
59.35114917,0,L711719,3.239175882,32.3408894,gls_tree_hs
12.06031765,0,L1877656,1.730353462,27.89305606,gls_tree_hs
30.75045904,0,L200830,2.589964103,21.4433079,gls_tree_hs
95.16645998,0,L458792,5.883104866,21.03758789,gls_tree_hs
155.6967854,0,L305312,6.625675685,27.84251562,gls_tree_hs
8.054821953,0,L886942,1.149968823,2.854048226,gls_tree_hs
14.98169863,0,L127353,2.211383781,29.90852447,gls_tree_hs
129.7488156,0,L148362,6.075697426,35.57840524,gls_tree_hs
11.61341834,0,L796074,1.625463791,9.674928122,gls_tree_hs
18.46289688,0,L304833,1.786136513,25.22141686,gls_tree_hs
619.2460061,0,L191106,13.03461987,38.49433434,gls_tree_hs
4.349022249,0,L683555,0.840172943,20.61759349,gls_tree_hs
331.5524457,0,L285884,7.351110814,26.10122965,gls_tree_hs
429.9630584,0,L109516,9.806453823,35.3125638,gls_tree_hs
243.095914,0,L1025768,6.201269384,19.431717,gls_tree_hs
38.88254494,0,L715912,2.614425012,21.11653338,gls_tree_hs
75.65575155,0,L449982,3.474831634,13.05872388,gls_tree_hs
77.29235124,0,L1160385,5.247531585,33.02627988,gls_tree_hs
180.2503623,0,L681420,5.608294963,17.40826484,gls_tree_hs
55.2938267,0,L209928,3.442792364,30.82992915,gls_tree_hs
172.2545638,0,L207391,6.151848882,40.05160678,gls_tree_hs
60.04776679,0,L710606,4.637691061,32.06236224,gls_tree_hs
357.1702097,0,L451783,11.86242988,34.254433,gls_tree_hs
218.2688057,0,L340861,10.2951507,42.88484253,gls_tree_hs
65.17827951,0,L618326,3.798472575,8.029195934,gls_tree_hs
