Area,Id,LOCALITY_I,Perimeter,value,file.name
7.335856056,0,L717897,1.258993105,0.116746074,evi_2013_hs
269.8380529,0,L271279,7.179805207,0.379803913,evi_2013_hs
11.07748812,0,L1138317,2.59040892,0.243477997,evi_2013_hs
28.71537021,0,L1150366,2.375736161,0.234555855,evi_2013_hs
139.3080943,0,L620970,4.775986637,0.252291318,evi_2013_hs
32.9713361,0,L2807001,2.898828457,0.297973414,evi_2013_hs
59.35114917,0,L711719,3.239175882,0.33583752,evi_2013_hs
12.06031765,0,L1877656,1.730353462,0.213412249,evi_2013_hs
30.75045904,0,L200830,2.589964103,0.443397048,evi_2013_hs
95.16645998,0,L458792,5.883104866,0.315559556,evi_2013_hs
155.6967854,0,L305312,6.625675685,0.354919559,evi_2013_hs
8.054821953,0,L886942,1.149968823,0.289795232,evi_2013_hs
14.98169863,0,L127353,2.211383781,0.44893827,evi_2013_hs
129.7488156,0,L148362,6.075697426,0.363726401,evi_2013_hs
11.61341834,0,L796074,1.625463791,0.187447575,evi_2013_hs
18.46289688,0,L304833,1.786136513,0.119080643,evi_2013_hs
619.2460061,0,L191106,13.03461987,0.160806928,evi_2013_hs
4.349022249,0,L683555,0.840172943,0.080742049,evi_2013_hs
331.5524457,0,L285884,7.351110814,0.217022029,evi_2013_hs
429.9630584,0,L109516,9.806453823,0.281184676,evi_2013_hs
243.095914,0,L1025768,6.201269384,0.226571781,evi_2013_hs
38.88254494,0,L715912,2.614425012,0.16117818,evi_2013_hs
75.65575155,0,L449982,3.474831634,0.19974805,evi_2013_hs
77.29235124,0,L1160385,5.247531585,0.229975024,evi_2013_hs
180.2503623,0,L681420,5.608294963,0.22434031,evi_2013_hs
55.2938267,0,L209928,3.442792364,0.140993501,evi_2013_hs
172.2545638,0,L207391,6.151848882,0.135170869,evi_2013_hs
60.04776679,0,L710606,4.637691061,0.110269129,evi_2013_hs
357.1702097,0,L451783,11.86242988,0.161521591,evi_2013_hs
218.2688057,0,L340861,10.2951507,0.464606663,evi_2013_hs
65.17827951,0,L618326,3.798472575,0.257038447,evi_2013_hs
